rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,max_rainfall_intensity,antecedent_rainfall_index,temperature,humidity,wind_speed,elevation,slope,aspect,plan_curvature,profile_curvature,soil_moisture,vegetation_density,soil_type_code,land_cover_code,geology_strength,previous_landslides,landslide,true_probability
5.22,11.19,23.52,35.36,46.29,88.07,169.5,7.53,80.59,19.9,85.9,14.2,626.1,17.88,123.3,-0.0364,-0.0661,0.78,0.419,0,3,3,1,1,0.9917
0.49,1.18,1.79,2.02,2.64,5.06,9.75,0.65,4.63,17.5,47.7,20.9,2709.6,48.2,8.2,-0.0546,-0.0405,0.383,0.628,4,4,2,1,0,0.6434
0.48,0.99,2.07,3.05,4.2,8.88,12.49,0.64,6.81,9.6,33.3,15.5,804.8,6.39,98.0,0.0427,0.0001,0.295,0.783,2,2,3,1,0,0.0077
4.0,7.64,11.21,16.47,23.36,31.92,41.74,5.85,26.59,21.7,66.7,14.5,1484.5,16.12,310.3,0.0451,0.0234,0.445,0.623,0,1,1,0,0,0.3082
2.25,5.03,6.4,9.55,10.76,22.89,40.93,3.32,19.72,23.5,60.6,22.4,3771.7,17.89,13.2,-0.0104,-0.0165,0.329,0.52,0,1,4,0,0,0.0442
2.18,5.8,10.32,12.97,14.71,20.7,31.65,2.41,18.24,11.0,56.0,16.5,2016.9,24.98,157.0,0.0383,0.0192,0.342,0.646,4,0,2,1,0,0.1821
1.02,2.38,4.44,6.08,7.45,18.25,28.21,1.19,14.23,11.4,65.7,24.1,2820.4,12.88,42.3,-0.1483,-0.0219,0.409,0.893,3,3,4,0,0,0.0098
1.46,3.42,5.12,9.03,11.89,17.06,30.89,1.47,16.15,16.0,67.6,19.5,765.1,22.33,150.1,0.0664,0.0612,0.471,0.739,2,0,5,1,0,0.0359
2.31,4.42,6.05,10.27,14.66,26.3,39.1,2.72,21.48,17.6,76.6,8.1,848.0,16.57,302.0,-0.0078,0.1276,0.483,0.92,1,4,5,0,0,0.0193
0.47,0.84,1.09,1.54,1.85,4.13,6.4,0.63,3.28,15.1,44.8,15.6,219.6,34.54,224.3,0.0071,-0.0196,0.357,0.688,2,0,1,0,0,0.1673
0.52,1.2,1.96,2.73,3.43,5.53,9.93,0.77,5.06,10.7,54.0,23.2,751.1,20.5,265.2,-0.016,0.024,0.332,0.47,3,0,5,2,0,0.021
3.23,5.45,8.77,14.45,18.85,35.44,46.32,3.25,27.04,23.6,75.4,40.2,1206.1,64.94,125.7,0.0698,0.0199,0.434,0.897,5,7,2,0,1,0.9946
0.39,0.81,1.21,1.66,2.06,2.65,5.12,0.41,2.67,27.7,33.2,14.2,784.6,16.64,340.0,-0.053,0.0069,0.309,0.852,2,0,2,1,0,0.0148
1.71,3.12,4.43,6.74,8.71,18.78,31.1,2.16,15.52,15.2,77.2,9.7,418.1,33.38,255.3,0.0737,0.0327,0.452,0.499,1,2,1,1,1,0.7709
3.77,9.11,11.29,19.3,22.46,30.03,50.8,3.97,28.07,24.5,49.2,4.4,550.6,38.93,151.8,0.0198,0.0239,0.316,0.814,0,0,3,0,0,0.3392
4.69,10.3,19.45,24.03,26.61,57.14,112.15,4.81,51.64,17.8,82.7,27.7,1962.2,3.06,153.5,0.0311,-0.0236,0.675,0.388,0,0,3,0,1,0.3112
0.54,0.88,1.41,2.28,2.73,3.7,4.31,0.66,2.96,6.3,57.2,16.2,906.3,27.28,330.7,-0.0165,0.0658,0.266,0.713,3,3,4,1,0,0.0163
4.5,10.02,14.19,25.52,31.55,43.26,56.65,6.12,36.02,4.2,55.6,8.6,1561.7,8.54,207.5,-0.0654,0.0101,0.471,0.436,0,3,5,1,1,0.1466
0.22,0.51,0.87,0.98,1.47,3.15,5.27,0.26,2.62,17.0,71.0,15.3,2139.2,16.31,254.3,0.0465,-0.0192,0.296,0.517,2,0,2,1,0,0.0259
0.42,0.78,1.63,1.82,2.69,4.37,5.31,0.46,3.36,32.7,58.2,13.6,2915.1,9.41,150.1,0.0156,0.1222,0.285,0.777,3,5,2,2,0,0.0144
2.75,5.3,7.59,12.06,17.65,27.91,40.71,3.22,23.33,21.5,90.1,3.5,213.1,34.86,80.5,0.0681,-0.0058,0.466,0.911,1,3,3,0,0,0.2414
2.14,5.64,10.22,14.43,22.79,35.99,59.25,2.28,31.79,9.9,49.8,16.0,3367.6,13.31,260.5,-0.0097,0.0127,0.438,0.459,3,1,3,0,0,0.1507
0.14,0.23,0.49,0.6,0.79,1.55,1.91,0.17,1.14,25.2,64.2,13.9,2655.8,6.14,218.8,-0.021,0.0088,0.255,0.284,2,0,2,1,0,0.0142
0.38,1.04,1.65,2.41,2.77,5.15,7.38,0.47,4.1,11.6,62.6,10.6,389.3,20.77,180.5,0.0694,-0.0065,0.361,0.615,2,4,5,0,0,0.0077
0.97,1.73,3.71,6.4,9.66,12.58,19.89,1.01,11.5,29.7,62.7,23.8,3675.4,37.57,224.6,0.0956,0.0224,0.351,0.613,5,3,1,3,1,0.7009
0.94,1.7,2.06,3.02,4.2,8.59,15.2,1.19,7.42,25.0,96.1,20.2,3871.6,9.49,75.0,0.0005,-0.0422,0.407,0.643,3,0,4,0,0,0.0072
0.65,1.31,1.73,3.04,4.86,10.6,12.1,0.82,7.38,16.5,71.4,18.9,303.5,29.18,285.8,-0.0376,0.0298,0.345,0.526,2,1,2,2,0,0.1873
1.43,3.91,6.77,10.15,12.89,18.11,22.73,1.72,14.72,23.0,54.7,15.8,1199.0,5.06,341.3,0.0405,-0.0879,0.373,0.824,4,0,2,0,0,0.0149
7.28,19.41,32.97,40.57,62.36,93.47,132.91,9.55,78.42,18.7,98.9,3.2,3395.7,38.97,320.8,-0.0127,-0.0649,0.813,0.656,3,1,4,2,1,0.9997
1.04,2.58,5.62,9.48,14.51,32.39,37.46,1.53,22.54,20.7,82.0,3.8,3155.3,23.09,115.7,0.03,0.0913,0.381,0.39,4,1,2,0,0,0.2478
0.89,2.26,3.03,4.15,6.6,11.97,18.65,1.04,9.96,29.8,66.4,2.9,815.8,8.87,146.2,-0.013,-0.0628,0.343,0.518,3,7,4,1,0,0.0136
0.6,1.32,2.89,4.39,7.0,11.37,21.05,0.64,10.55,11.0,50.2,12.5,918.8,27.78,291.0,0.0782,-0.098,0.432,0.747,2,4,2,0,0,0.0939
0.69,1.84,3.79,5.21,8.31,13.48,21.91,0.94,11.76,26.6,67.5,22.5,1587.5,13.75,214.2,-0.035,-0.0616,0.405,0.861,1,4,3,1,0,0.0197
1.16,1.94,2.76,3.85,6.0,14.76,28.54,1.31,12.93,1.7,55.4,30.0,2060.8,10.76,197.2,0.024,0.087,0.333,0.725,3,1,3,3,0,0.0383
0.76,1.67,2.61,3.19,3.93,6.82,10.8,1.03,5.78,6.3,59.4,5.0,2615.8,13.58,333.6,-0.0244,-0.0896,0.422,0.59,0,0,2,0,1,0.0227
34.54,88.7,117.06,180.04,237.78,509.64,806.6,39.33,412.28,14.4,90.2,9.2,1581.0,26.32,193.0,-0.0141,-0.0478,0.95,0.494,4,0,5,1,1,1.0
1.0,2.23,4.71,6.22,9.87,14.89,27.4,1.05,14.03,24.6,77.6,20.1,1969.5,10.35,185.4,-0.0206,-0.0729,0.415,0.339,2,2,1,0,0,0.0817
8.54,21.87,34.67,46.65,60.61,110.08,216.25,12.82,102.8,3.3,57.3,17.6,3152.0,3.77,15.1,0.0369,-0.0137,0.875,0.517,3,1,3,0,1,0.9845
0.52,0.89,1.11,1.37,2.13,5.13,9.78,0.66,4.47,29.0,65.4,18.4,202.2,13.99,25.0,0.0459,-0.0218,0.374,0.694,2,0,5,1,0,0.0064
14.08,21.83,38.81,51.99,76.86,99.27,123.9,19.32,82.69,17.3,97.3,17.0,1097.6,35.61,2.7,0.0279,-0.024,0.628,0.649,2,0,1,1,1,1.0
11.07,24.64,35.92,60.16,92.23,121.29,242.05,13.23,123.12,23.1,91.0,7.1,3010.4,35.36,328.8,-0.0054,0.0928,0.95,0.516,3,5,3,1,1,1.0
1.4,3.37,5.34,9.44,13.96,28.84,40.91,2.04,22.32,7.4,28.8,18.6,3765.1,13.57,147.0,0.007,-0.06,0.435,0.539,3,3,2,1,1,0.1258
1.22,2.71,4.53,6.38,8.23,10.5,14.7,1.73,9.18,13.2,62.5,12.6,2173.5,13.29,168.7,0.0449,-0.0051,0.326,0.508,1,0,1,0,0,0.0477
0.17,0.33,0.43,0.69,0.86,1.53,2.68,0.24,1.35,15.7,73.4,41.3,2258.3,12.81,304.3,0.0465,0.0169,0.257,0.412,0,4,2,1,0,0.0201
0.79,1.93,3.26,5.67,8.22,14.68,22.58,1.11,12.19,7.2,64.0,11.3,494.8,12.48,219.3,-0.1345,-0.049,0.418,0.58,4,4,5,0,0,0.0101
30.86,83.6,124.45,158.96,181.82,273.51,322.68,39.85,212.68,21.8,90.7,3.3,1906.8,12.99,219.4,-0.0136,0.0243,0.95,0.636,5,1,2,1,1,1.0
0.97,2.18,4.18,4.99,5.94,11.56,21.41,1.21,10.32,13.1,76.3,9.4,2260.4,21.31,106.8,-0.0112,-0.02,0.396,0.476,0,0,2,0,0,0.0838
62.59,107.75,156.88,199.29,222.2,444.38,834.58,83.01,397.51,23.0,98.2,6.4,1056.3,36.06,300.2,0.0335,0.0187,0.95,0.663,1,4,5,0,1,1.0
0.07,0.15,0.33,0.57,0.71,0.93,1.74,0.08,0.92,15.4,42.6,18.0,1167.4,10.34,59.7,-0.0033,-0.0054,0.292,0.593,1,1,2,2,0,0.017
1.01,2.51,4.88,6.41,8.05,16.54,26.36,1.29,13.54,18.3,62.0,17.9,1615.7,11.54,19.1,0.036,-0.1025,0.447,0.616,6,4,3,1,0,0.0309
2.61,4.58,6.04,8.87,13.72,31.87,43.52,3.49,23.65,4.9,51.1,19.9,133.3,22.64,69.0,-0.0539,0.0653,0.524,0.543,1,0,3,1,0,0.2711
1.38,2.87,3.84,6.83,10.11,17.36,32.45,1.45,15.99,20.8,27.3,7.7,1386.6,27.12,96.4,0.013,0.1035,0.286,0.761,0,2,3,0,0,0.0499
9.2,21.79,33.98,48.7,70.27,85.38,162.92,12.68,86.67,36.8,78.1,20.1,927.5,7.18,101.6,0.045,-0.0088,0.756,0.755,0,0,1,0,1,0.9852
3.24,5.19,6.37,8.64,12.95,24.13,46.48,4.01,22.18,7.4,67.4,10.8,1409.1,43.03,241.4,-0.0737,-0.0449,0.477,0.775,3,3,3,0,0,0.5947
0.34,0.61,0.76,1.33,1.88,2.31,3.95,0.51,2.22,18.9,86.6,2.6,547.0,15.5,78.4,0.1257,0.0753,0.456,0.56,5,7,5,0,0,0.0061
1.87,4.55,8.73,10.26,12.63,30.06,47.55,2.75,23.82,17.3,40.6,12.9,3745.7,7.63,243.6,0.0595,0.0945,0.332,0.42,2,2,1,0,0,0.0938
0.11,0.22,0.33,0.52,0.83,1.47,1.62,0.16,1.06,27.0,51.1,4.8,2513.4,6.95,32.8,0.0001,-0.0084,0.225,0.729,0,0,2,2,0,0.0102
1.16,1.88,2.64,3.7,4.32,5.29,6.41,1.41,4.44,7.5,51.7,15.8,2868.3,6.68,53.0,-0.0414,-0.0109,0.298,0.927,2,1,5,0,0,0.0021
0.54,1.32,2.08,3.43,3.95,7.19,11.05,0.73,5.94,16.9,48.6,46.2,3325.1,33.04,183.2,-0.0088,-0.004,0.292,0.269,1,5,2,2,0,0.3627
5.62,9.96,21.74,31.08,37.91,73.89,129.43,6.25,64.1,23.9,64.7,16.7,2118.5,19.4,331.9,0.0042,-0.0837,0.685,0.811,0,4,1,0,1,0.9515
15.02,24.53,51.57,86.72,132.52,315.22,360.85,17.19,215.4,15.9,82.5,4.0,410.7,33.2,309.4,0.022,-0.0146,0.95,0.57,5,0,1,2,1,1.0
0.87,2.02,2.93,4.11,5.43,8.11,12.85,1.12,7.14,14.2,70.6,18.1,2279.0,17.42,348.8,0.075,0.0857,0.357,0.68,5,7,2,1,0,0.0369
2.88,7.74,9.88,11.94,15.5,30.14,45.56,3.95,24.35,22.7,57.8,2.6,2485.4,32.72,234.2,-0.0238,-0.0084,0.365,0.492,7,3,2,0,1,0.5241
0.41,0.87,1.33,1.83,2.28,4.31,5.3,0.5,3.2,30.2,55.4,17.9,3143.6,17.18,243.3,0.0281,-0.052,0.24,0.578,2,0,2,1,0,0.0232
1.1,1.97,2.39,2.84,4.49,6.02,8.88,1.54,5.3,17.6,29.4,17.0,1841.4,1.81,225.0,-0.0646,0.0248,0.261,0.698,1,2,2,1,0,0.0088
9.46,21.34,30.34,34.58,51.37,125.88,178.79,12.47,94.15,25.8,83.6,29.7,579.5,24.93,224.2,-0.0207,-0.0334,0.827,0.646,4,2,4,0,1,0.9959
115.76,269.28,491.3,623.72,737.7,1180.25,2166.8,134.08,1094.96,10.7,92.4,6.6,1227.7,18.09,53.0,0.0188,-0.0033,0.95,0.608,0,4,4,1,1,1.0
0.89,2.43,3.13,4.36,5.56,11.91,15.2,1.02,8.72,18.5,60.2,4.4,1556.8,16.6,195.7,0.0346,-0.0634,0.334,0.372,1,1,2,1,0,0.0654
27.98,77.19,105.91,126.15,161.51,358.66,712.39,39.02,324.29,11.6,85.3,12.6,2730.6,10.97,139.0,-0.0377,-0.0518,0.95,0.744,1,5,2,0,1,1.0
0.52,1.0,1.64,2.59,3.14,6.59,12.6,0.59,5.9,13.6,86.1,2.1,2418.7,26.76,159.3,-0.022,0.0369,0.4,0.362,7,4,5,3,0,0.0733
1.24,3.06,5.85,9.03,10.51,14.23,25.02,1.38,13.49,16.9,63.4,9.3,1527.8,9.52,188.5,0.073,0.0058,0.379,0.89,3,3,5,1,0,0.0082
0.22,0.57,0.99,1.65,2.5,4.24,7.71,0.3,3.86,14.4,82.2,28.9,4144.0,26.74,46.2,0.0581,-0.0388,0.476,0.727,0,1,5,1,0,0.018
2.12,4.94,9.55,12.12,16.49,37.56,44.59,2.19,26.31,23.6,66.3,30.5,2564.0,19.89,129.4,0.0104,0.006,0.547,0.463,0,7,5,0,0,0.0843
21.24,55.35,71.54,97.65,124.75,283.09,507.35,23.48,241.27,20.3,87.3,19.4,1034.5,27.12,22.8,-0.1118,-0.0304,0.95,0.299,4,2,3,1,1,1.0
13.47,29.35,39.96,62.38,70.52,107.03,137.09,19.19,85.71,8.9,86.8,7.4,472.4,20.84,352.7,0.1256,-0.0392,0.726,0.93,4,6,2,3,1,0.9984
2.36,5.38,11.24,15.56,19.08,36.25,68.72,3.0,32.92,16.4,52.2,15.3,684.4,34.6,42.7,-0.001,0.0582,0.447,0.242,3,0,5,2,1,0.7056
2.75,4.48,9.67,13.24,19.36,43.89,64.02,3.49,33.76,11.0,67.8,12.2,1070.7,23.64,93.1,-0.0156,0.0391,0.526,0.486,0,7,3,2,0,0.6066
31.57,63.02,127.34,171.0,264.6,528.3,907.86,45.11,451.65,16.7,80.4,2.2,716.8,20.12,320.9,-0.0261,-0.0011,0.95,0.662,2,4,3,1,1,1.0
38.32,58.18,111.71,161.72,249.99,369.33,663.12,53.89,345.61,18.1,88.3,7.9,824.3,3.45,173.8,0.0188,0.0072,0.95,0.54,3,6,4,1,1,1.0
3.35,8.27,10.35,14.35,18.02,40.35,62.93,4.66,32.13,16.2,61.2,16.2,1233.1,35.34,48.8,0.0193,-0.0004,0.551,0.704,6,0,3,1,0,0.756
1.26,2.54,5.59,8.29,12.06,27.51,40.7,1.48,21.27,14.8,44.0,8.0,769.5,6.63,138.3,0.0475,0.0244,0.352,0.455,0,2,3,1,0,0.0423
27.66,73.8,104.12,186.48,218.85,524.08,774.48,30.4,401.24,20.5,91.4,3.4,3771.6,8.1,41.7,-0.0463,-0.04,0.95,0.606,2,0,2,1,1,1.0
8.11,13.26,21.37,30.77,38.22,87.47,164.66,10.33,76.41,7.1,71.8,14.3,383.0,28.48,72.1,-0.0156,0.0431,0.798,0.554,0,0,1,0,1,0.9999
12.98,19.84,36.27,59.58,80.91,163.76,324.01,16.58,150.26,21.5,100.0,14.0,2226.7,19.01,18.7,0.1015,0.0177,0.95,0.57,2,1,2,1,1,1.0
1.51,3.0,5.23,8.2,12.2,22.02,38.19,1.55,19.32,9.5,78.9,8.3,1753.1,6.82,157.8,0.0112,-0.0132,0.349,0.75,1,7,3,1,0,0.0251
28.52,78.88,172.81,257.49,400.48,1000.15,1518.57,34.51,769.85,19.2,92.6,19.0,4126.9,13.28,290.4,-0.0086,-0.0244,0.95,0.768,4,3,4,0,1,1.0
0.32,0.88,1.58,2.56,4.02,9.96,13.06,0.41,7.16,19.5,50.7,3.5,515.0,34.37,210.9,-0.0471,0.0421,0.333,0.568,1,1,2,0,0,0.1382
3.29,7.84,11.14,17.23,20.35,37.08,57.7,4.09,30.82,14.0,96.9,27.0,1701.1,20.5,218.3,0.0253,-0.0075,0.602,0.749,2,7,4,0,0,0.157
0.5,0.92,1.63,1.87,2.47,5.39,6.58,0.75,3.86,20.3,51.9,5.0,4073.3,19.27,72.2,0.0516,-0.0349,0.309,0.647,2,3,2,1,0,0.0298
14.2,30.17,46.03,74.65,107.34,175.71,333.38,15.71,164.84,12.7,92.9,16.2,3641.9,12.33,123.8,0.0437,-0.0192,0.95,0.603,5,6,5,1,1,1.0
0.09,0.24,0.45,0.77,1.14,1.66,3.07,0.09,1.58,9.8,51.1,4.9,3440.8,29.02,304.3,-0.0129,0.0385,0.342,0.434,4,6,1,0,0,0.1572
0.33,0.83,1.03,1.72,2.32,5.54,9.96,0.47,4.69,9.1,39.0,34.0,1120.3,17.72,31.6,0.0181,-0.0805,0.392,0.79,0,4,3,0,0,0.0113
4.96,11.75,17.34,23.68,26.73,33.52,40.53,7.28,27.87,25.2,95.8,3.4,759.2,26.19,308.9,0.0836,-0.0178,0.49,0.851,0,0,2,0,0,0.4046
2.59,7.02,12.27,21.26,31.9,69.07,108.44,3.71,55.54,20.2,83.7,21.2,2824.9,11.58,174.1,0.0535,0.0535,0.675,0.632,2,7,2,2,0,0.7772
0.43,1.04,2.05,2.41,3.68,8.46,12.74,0.63,6.59,22.4,92.2,18.5,3906.9,51.51,301.4,-0.0392,-0.0084,0.285,0.844,2,1,1,0,1,0.4253
0.27,0.51,1.04,1.43,2.21,4.72,6.17,0.34,3.49,26.4,38.4,42.4,2360.6,37.67,114.5,-0.1273,0.0136,0.277,0.384,1,3,3,0,0,0.1063
3.0,6.7,14.18,15.64,24.06,56.46,95.76,4.34,46.47,8.5,100.0,8.0,2422.2,20.38,122.0,0.0148,0.0543,0.662,0.896,4,4,2,0,1,0.5958
2.49,4.6,7.27,9.82,14.5,22.58,43.32,3.11,21.55,12.6,70.8,6.3,1211.9,22.84,270.6,0.0399,0.0446,0.288,0.533,0,0,5,2,0,0.0872
4.76,10.64,19.01,21.46,28.07,62.35,100.74,5.68,50.6,21.5,92.2,2.3,3243.4,13.35,282.6,-0.0545,-0.022,0.622,0.701,7,3,3,0,0,0.44
0.3,0.82,1.47,2.39,2.85,6.06,11.67,0.33,5.43,21.4,52.9,6.7,826.2,27.3,82.7,-0.0004,-0.0065,0.437,0.573,0,1,2,2,0,0.1764
1.09,2.35,4.94,6.37,7.43,18.43,34.28,1.51,15.78,22.9,56.0,6.6,1393.3,4.03,350.2,-0.0132,0.0452,0.391,0.573,0,0,3,0,0,0.014
1.48,3.19,6.52,9.68,14.08,33.61,49.56,1.91,25.72,10.3,64.0,1.9,1815.6,42.68,30.4,0.0052,0.047,0.43,0.386,1,0,1,0,1,0.984
1.7,3.17,5.15,7.81,11.62,14.91,17.09,2.01,12.07,18.5,57.7,22.3,2156.6,26.46,24.7,-0.0272,-0.0044,0.267,0.601,2,5,3,1,0,0.0711
4.16,7.46,13.39,17.62,25.12,34.43,51.95,4.22,30.39,14.6,88.6,3.8,1056.0,10.21,214.4,0.0645,-0.0027,0.528,0.748,1,0,3,1,1,0.1241
0.02,0.03,0.07,0.09,0.12,0.31,0.47,0.03,0.24,25.4,34.2,6.5,526.6,42.14,260.2,0.0074,0.0134,0.262,0.56,3,5,1,1,1,0.3171
4.82,11.37,25.02,37.17,51.84,103.6,149.2,6.51,81.34,27.0,51.2,13.8,2584.1,49.18,345.9,-0.044,0.0683,0.623,0.734,2,3,3,0,1,0.9997
60.12,134.4,260.54,330.23,374.06,494.65,643.02,62.45,415.34,21.4,85.5,10.6,1247.8,23.51,145.8,0.0459,0.0534,0.95,0.781,0,3,2,0,1,1.0
0.32,0.7,0.89,1.08,1.34,2.18,3.36,0.42,1.85,20.2,51.2,8.7,2462.1,11.7,9.1,-0.0632,0.0347,0.293,0.652,5,4,2,1,0,0.0133
2.18,5.92,12.39,20.09,23.81,40.41,72.03,2.6,36.44,11.1,78.3,11.6,690.6,19.44,217.0,0.0642,-0.0539,0.475,0.805,7,2,3,1,0,0.2566
0.08,0.19,0.33,0.43,0.57,0.74,1.16,0.11,0.68,11.6,77.4,16.2,2046.7,25.34,104.3,0.0496,-0.0137,0.342,0.892,3,1,2,2,0,0.0336
33.29,65.53,101.61,143.62,163.54,328.26,460.05,39.15,254.32,24.7,89.5,11.0,2260.2,22.46,155.9,0.0695,-0.0111,0.95,0.843,4,0,2,1,1,1.0
0.76,1.39,2.07,3.6,4.56,11.08,13.5,1.03,7.74,21.1,78.9,30.0,265.1,10.21,175.8,-0.0079,0.0709,0.465,0.798,0,2,2,2,0,0.0264
2.82,5.98,11.98,14.24,21.9,46.29,78.94,3.01,38.97,13.8,92.7,6.7,1446.9,25.09,23.2,-0.0248,-0.0119,0.644,0.833,1,2,3,1,0,0.5485
1.88,3.61,7.58,8.68,9.97,23.1,43.42,2.13,20.12,22.3,98.9,10.1,607.8,34.16,175.0,0.0042,0.0627,0.444,0.771,1,1,1,1,0,0.6011
30.71,59.59,112.38,157.42,217.66,522.67,812.58,40.81,409.99,7.0,90.1,2.9,313.0,8.74,153.5,-0.0042,-0.0285,0.95,0.584,7,3,4,2,1,1.0
2.0,4.8,6.05,9.26,11.4,28.22,34.4,2.82,19.65,15.2,33.3,31.4,4158.3,9.41,256.5,-0.0326,-0.0245,0.319,0.429,2,2,3,0,0,0.0363
0.01,0.02,0.04,0.06,0.08,0.17,0.22,0.01,0.13,20.0,60.8,2.5,1387.8,13.03,232.4,-0.0277,0.0241,0.363,0.773,0,4,3,1,0,0.0075
1.7,2.59,4.55,5.03,6.29,11.76,20.45,2.08,10.25,29.0,63.5,22.5,3411.0,16.8,66.7,-0.0183,0.0784,0.379,0.603,2,2,2,1,0,0.0578
4.49,8.78,17.81,24.65,27.88,36.0,44.01,5.17,29.76,19.3,48.6,0.9,1106.8,29.41,74.2,-0.0585,-0.0106,0.351,0.665,0,6,2,0,1,0.4546
0.24,0.66,1.27,1.83,2.08,2.64,4.11,0.3,2.41,24.9,72.9,16.8,2878.2,33.96,90.4,0.0339,-0.1281,0.443,0.524,1,2,4,1,0,0.081
2.9,6.84,10.5,18.52,24.72,54.17,61.09,3.55,37.47,14.6,65.9,6.6,3204.9,11.39,64.4,-0.0026,-0.0782,0.528,0.674,2,5,1,1,0,0.3707
0.31,0.67,1.41,1.63,2.48,3.8,5.2,0.33,3.12,12.9,63.2,20.5,2521.9,21.21,236.6,-0.0154,0.0149,0.352,0.9,1,2,1,0,0,0.0245
0.82,1.7,2.56,4.04,6.33,10.96,13.81,0.91,8.41,12.1,56.6,4.4,2007.0,33.24,358.0,-0.0555,-0.0737,0.36,0.477,0,2,2,1,0,0.2756
5.54,14.39,31.37,43.18,52.38,117.58,175.29,6.13,91.55,27.4,43.4,6.4,1759.1,53.04,234.8,-0.058,-0.0433,0.647,0.704,0,1,2,1,1,1.0
2.32,3.85,8.41,14.39,22.28,44.6,75.44,2.63,37.81,19.2,69.9,10.4,1497.8,21.15,218.4,0.0968,0.0006,0.486,0.727,2,2,2,0,1,0.3833
0.67,1.27,1.58,2.47,2.77,6.2,8.92,0.84,4.75,14.0,68.2,2.6,3907.5,21.79,147.6,-0.0314,-0.1225,0.334,0.45,3,6,5,0,0,0.0115
0.64,1.44,1.92,2.64,4.01,7.68,13.08,0.72,6.59,12.0,70.8,11.0,3497.1,23.59,112.5,0.0305,-0.019,0.358,0.637,2,0,1,1,0,0.1075
0.58,1.38,1.98,3.06,4.21,6.17,9.42,0.84,5.37,21.7,82.5,18.6,4054.9,15.81,328.0,0.0081,-0.0582,0.414,0.664,3,0,4,1,0,0.0135
3.56,6.82,10.71,15.12,17.29,38.31,68.49,5.19,32.75,6.4,100.0,24.0,565.8,20.27,348.8,-0.1388,-0.075,0.537,0.35,0,4,2,1,1,0.71
5.59,14.23,26.37,42.26,48.11,101.82,124.5,8.34,73.42,2.8,72.3,15.6,3083.1,4.79,178.8,0.0896,-0.0401,0.634,0.799,0,2,4,0,0,0.5595
0.63,1.2,1.87,3.1,3.63,6.74,11.29,0.68,5.78,23.0,92.8,25.3,3944.1,13.4,104.5,0.0342,-0.0535,0.327,0.775,4,1,4,1,0,0.0082
0.88,1.36,2.91,4.61,5.19,9.98,18.83,1.2,9.02,20.0,72.3,30.8,802.1,24.89,277.2,-0.0384,0.0235,0.371,0.852,1,2,1,0,0,0.0681
0.36,0.77,1.3,1.76,2.56,3.26,6.25,0.52,3.28,20.9,68.0,24.4,326.0,10.99,47.7,-0.0014,0.0598,0.403,0.656,2,2,3,0,0,0.008
1.53,4.27,7.5,8.43,11.87,25.21,48.22,1.58,22.51,35.2,65.8,36.1,3125.7,29.78,275.6,-0.0575,-0.0182,0.371,0.559,7,2,2,1,0,0.3868
2.68,5.18,9.46,11.32,17.19,37.31,71.78,3.78,33.29,21.8,58.8,1.5,2434.1,6.04,294.8,0.0913,-0.0298,0.469,0.665,2,4,4,0,1,0.0497
0.51,0.97,1.57,2.24,3.0,6.2,11.77,0.65,5.55,24.4,64.8,15.6,3543.6,29.17,45.0,-0.0454,-0.0207,0.388,0.495,0,1,4,0,0,0.0387
0.36,0.77,1.4,2.12,2.95,5.25,9.45,0.41,4.71,8.0,61.9,25.3,630.1,29.13,351.7,-0.0262,-0.0554,0.331,0.882,6,3,1,0,0,0.0546
0.9,1.56,2.01,2.35,2.75,3.39,4.33,1.16,2.89,21.5,55.8,25.7,3350.4,53.54,354.8,-0.0365,-0.0644,0.262,0.437,0,4,2,2,0,0.8241
1.73,3.95,6.73,9.58,13.04,26.63,41.32,2.2,21.55,9.8,59.9,17.0,886.8,15.45,337.2,0.004,-0.0823,0.408,0.682,3,4,3,2,0,0.0952
0.78,1.6,2.45,3.19,4.01,8.76,11.78,1.08,6.54,19.4,69.0,16.8,729.2,19.02,178.6,0.0685,-0.0665,0.412,0.256,1,1,3,0,0,0.051
0.24,0.49,0.68,0.78,1.03,1.74,2.46,0.26,1.41,9.4,46.3,14.9,731.7,40.52,88.6,0.0895,0.0816,0.293,0.624,2,1,2,2,1,0.2187
0.3,0.72,0.89,1.2,1.82,3.16,6.01,0.33,2.93,24.7,81.3,3.8,3430.5,37.82,209.5,-0.0199,-0.0345,0.385,0.606,2,2,2,0,0,0.186
12.54,21.85,43.28,66.8,95.91,136.35,267.07,13.08,134.43,24.0,82.3,39.6,2810.6,32.1,151.2,0.0189,-0.1471,0.95,0.703,2,5,4,1,1,1.0
2.7,7.55,9.98,16.4,18.53,37.77,45.25,3.49,27.24,12.0,66.8,14.0,2220.7,22.88,74.1,0.0041,-0.0294,0.395,0.296,4,4,1,0,0,0.6295
1.07,2.36,3.24,5.29,8.35,18.44,28.25,1.45,14.6,17.5,57.0,4.5,1539.1,39.94,152.5,-0.0491,-0.0795,0.406,0.702,6,2,2,2,1,0.5716
1.33,2.3,3.15,4.59,5.64,11.17,15.57,1.66,8.66,7.9,76.0,8.3,3690.4,63.47,239.0,0.1211,0.003,0.414,0.397,0,7,2,0,1,0.9999
